Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
"UCF 217",,0,"2870,9","3473,79",,,Dom.ložisko
"UCF 310        ASAHI  Japan",,0,2044,"2473,24",,,Dom.ložisko
"UCFA 206               JIB",,0,"461,4","558,29",,,Dom.ložisko
"UCFC  X 12  ASAHI",,0,"2923,7","3537,68",,,Dom.ložisko
"UCFC 206",,0,472,"571,12",,,Dom.ložisko
"UCFC 208",,0,850,"1028,5",,,Dom.ložisko
"UCFC 209",,0,565,"683,65",,,Dom.ložisko
"UCFC 210        ASAHI  Japan",,0,"961,4","1163,29",,,Dom.ložisko
"UCFC 212       ASAHI  Japan",,2,"1554,9","1881,43",,,Dom.ložisko
"UCFC 216 D1        NSK",,0,4818,"5829,78",,,Dom.ložisko
"UCFCX  20  D.100",,0,"9738,2","11783,22",,,Dom.ložisko
"UCFL 204",,6,"95,1","115,07",,,Dom.ložisko
"UCFL 205",,6,"108,4","131,16",,,Dom.ložisko
"UCFL 205       ASAHI  Japan",,2,387,"468,27",,,Dom.ložisko
"UCFL 206",,2,"167,7","202,92",,,Dom.ložisko
"UCFL 206        ASAHI  Japan",,5,"455,3","550,91",,,Dom.ložisko
"UCFL 207",,4,"141,6","171,34",,,Dom.ložisko
"UCFL 207        ASAHI  Japan",,4,"523,7","633,68",,,Dom.ložisko
"UCFX 10",,0,"1514,1","1832,06",,,Dom.ložisko
"UCP 202",,0,"118,6","143,51",,,Dom.ložisko
"UCP 203",,2,"134,6","162,87",,,Dom.ložisko
"UCP 204",,2,"101,4","122,69",,,Dom.ložisko
"UCP 205",,8,114,"137,94",,,Dom.ložisko
"UCP 205        ASAHI  Japan",,2,366,"442,86",,,Dom.ložisko
"UCP 206",,5,"113,9","137,82",,,Dom.ložisko
"UCP 206     ASAHI  Japan",,4,"468,7","567,13",,,Dom.ložisko
"UCP 206    LES 206        FKL",,3,"438,1","530,1",,,Dom.ložisko
"UCP 207",,6,"139,1","168,31",,,Dom.ložisko
"UCP 207        ASAHI  Japan",,3,"541,3","654,97",,,Dom.ložisko
"UCP 208",,2,258,"312,18",,,Dom.ložisko
"UCP 208        ASAHI  Japan",,2,"661,4","800,29",,,Dom.ložisko
"UCP 209        ASAHI  Japan",,2,"779,1","942,71",,,Dom.ložisko
"UCP 210",,4,"409,9","495,98",,,Dom.ložisko
"UCP 210         ASAHI  Japan",,2,"860,1","1040,72",,,Dom.ložisko
"UCP 210     (LES 210)   FKL",,0,"838,6","1014,71",,,Dom.ložisko
