Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
2-130,,20,"11,4","13,79",,,"O kroužek NBR"
2-135,,5,"11,4","13,79",,,"O kroužek NBR"
2-14,,722,"1,2","1,45",,,"O kroužek NBR"
"2-14 MVQ",,15,"2,1","2,54",,,"O kroužek MVQ"
2-15,,349,"1,2","1,45",,,"O kroužek NBR"
2-16,,999,"1,2","1,45",,,"O kroužek NBR"
"2-16  MVQ",,48,"1,2","1,45",,,"O kroužek NBR"
2-17,,85,"1,4","1,69",,,"O kroužek NBR"
2-18,,316,"1,95","2,36",,,"O kroužek NBR"
2-180,,0,"20,5","24,81",,,"O kroužek NBR"
2-2,,123,"0,9","1,09",,,"O kroužek NBR"
2-20,,120,"1,2","1,45",,,"O kroužek NBR"
"2-20     FPM",,38,15,"18,15",,,"O kroužek Viton"
2-21,,195,"1,25","1,51",,,"O kroužek NBR"
2-22,,423,"1,3","1,57",,,"O kroužek NBR"
2-24,,849,"1,4","1,69",,,"O kroužek"
2-25,,84,"1,69","2,04",,,"O kroužek NBR"
2-26,,362,"1,69","2,04",,,"O kroužek NBR"
2-28,,126,"2,5","3,03",,,"O kroužek NBR"
2-3,,319,"1,3","1,57",,,"O kroužek NBR"
"2-3 MVQ",,0,4,"4,84",,,"O kroužek MVQ"
2-30,,546,"1,6","1,94",,,"O kroužek NBR"
2-32,,248,"1,6","1,94",,,"O kroužek NBR"
2-33,,0,"1,83","2,21",,,"O kroužek NBR"
2-34,,344,2,"2,42",,,"O kroužek NBR"
2-35,,480,2,"2,42",,,"O kroužek NBR"
2-36,,248,2,"2,42",,,"O kroužek NBR"
2-38,,327,"2,05","2,48",,,"O kroužek NBR"
2-4,,147,"0,99","1,2",,,"O kroužek NBR"
2-40,,173,"2,1","2,54",,,"O kroužek NBR"
2-42,,395,"2,12","2,57",,,"O kroužek NBR"
2-43,,498,"2,2","2,66",,,"O kroužek NBR"
2-44,,177,"2,2","2,66",,,"O kroužek NBR"
"2-44  MVQ",,48,"3,3","3,99",,,"O kroužek NBR"
2-45,,6,"2,15","2,6",,,"O kroužek NBR"
2-48,,447,"2,19","2,65",,,"O kroužek NBR"
2-5,,533,"1,15","1,39",,,"O kroužek NBR"
"2-5  MVQ",,50,"1,15","1,39",,,"O kroužek NBR"
2-50,,688,"1,94","2,35",,,"O kroužek NBR"
2-52,,64,"2,4","2,9",,,"O kroužek NBR"
2-54,,37,"2,6","3,15",,,"O kroužek NBR"
2-55,,59,"2,04","2,47",,,"O kroužek NBR"
2-56,,90,"2,7","3,27",,,"O kroužek NBR"
"2-5,5",,120,"0,74","0,9",,,"O kroužek NBR"
2-6,,215,"0,74","0,9",,,"O kroužek NBR"
"2-6 MVQ",,0,"1,5","1,82",,,"O kroužek MVQ"
2-60,,41,"2,5","3,03",,,"O kroužek NBR"
2-62,,425,"2,15","2,6",,,"O kroužek NBR"
2-63,,486,"2,3","2,78",,,"O kroužek NBR"
2-64,,487,"2,3","2,78",,,"O kroužek NBR"
2-65,,123,"2,2","2,66",,,"O kroužek NBR"
2-66,,73,"4,1","4,96",,,"O kroužek NBR"
2-7,,131,"1,8","2,18",,,"O kroužek NBR"
2-70,,16,"5,9","7,14",,,"O kroužek NBR"
2-72,,90,"4,2","5,08",,,"O kroužek NBR"
2-73,,10,"11,1","13,43",,,"O kroužek NBR"
"2-73  FPM 80",,2,39,"47,19",,,"O kroužek NBR"
2-75,,414,"2,55","3,09",,,"O kroužek NBR"
2-8,,271,"0,59","0,71",,,"O kroužek NBR"
